% ARFF file for training-1.ratio.2.arff_and_training-2.ratio.2.arff
%
@relation bad_mem_access_and_false_sharing
%
% 16 original attributes=['r00c0', 'r0149', 'r0151', 'r02a2', 'r0126', 'r0227', 'r0224', 'r08a2', 'r01b0', 'r20f0', 'r02f1', 'r01f2', 'r01b8', 'r02b8', 'r04b8', 'r40cb']
% skipped attributes=['r00c0']
%
% the selected 15 attributes + the class attribute:
%
@attribute r0149 numeric
@attribute r0151 numeric
@attribute r02a2 numeric
@attribute r0126 numeric
@attribute r0227 numeric
@attribute r0224 numeric
@attribute r08a2 numeric
@attribute r01b0 numeric
@attribute r20f0 numeric
@attribute r02f1 numeric
@attribute r01f2 numeric
@attribute r01b8 numeric
@attribute r02b8 numeric
@attribute r04b8 numeric
@attribute r40cb numeric
@attribute status {good, badfs, badma}
%
@data
%
% training data: ratio mode
% instances=946 : good=495 : badfs=216 : badma=235
% 	unknown_(?)_entries=0 : (out of total=15136)=0.00%
%
%
% # Running: prog=pdotproduct : type=ARRAY : ===========================================
% # Running: prog=pdotproduct: N=1000000 : R=100 : ++++++++++++++++++++++++++++++++++++++++++++
% # prog=pdotproduct: N=1000000 : R=100 : numThreads=1 : ---------------------
% #
% # PDotProd: Good   : N=1000000 : Threads=1 : CompTime(ms)=481.32 : CompTime/TotalTime=98.3%
% # PDotProd: Good   : N=1000000 : Threads=1 : CompTime(ms)=480.01 : CompTime/TotalTime=98.3%
% # PDotProd: Good   : N=1000000 : Threads=1 : CompTime(ms)=480.20 : CompTime/TotalTime=98.3%
% 1
33316.9305164, 4138744.69101, 2176451.56971, 135897.927755, 108.765418787, 134546.459573, 461357.450756, 135510.141019, 4230431.95549, 45590.2319524, 205848.968764, 44.299593062, 31.7370218952, 42.6466231716, 179157.472162, good
% #
% # PDotProd: Good   : N=1000000 : Threads=1 : CompTime(ms)=481.52 : CompTime/TotalTime=98.6%
% # PDotProd: Good   : N=1000000 : Threads=1 : CompTime(ms)=479.83 : CompTime/TotalTime=98.2%
