@relation 'bad_mem_access_and_false_sharing-weka.filters.unsupervised.attribute.Remove-R3-8,10-13,15'

@attribute r0149 numeric
@attribute r0151 numeric
@attribute r20f0 numeric
@attribute r04b8 numeric
@attribute status {good,badfs,badma}

@data
2226.588665,11638.428614,3364.797712,328.755787,good
5623.24725,2633798.41951,4778130.59434,1904685.4005,badfs
2998.98335,13438.759141,3416.400161,339.72893,good
7138.142208,3212769.06102,5267564.44526,1846952.03929,badfs
1506.206532,5349.999872,645.075987,75.564852,good
1450.342654,5494.695743,638.843394,73.017826,good
1555.538594,7003.491901,2821.487343,517.288677,good
3044.982562,1738128.29443,3293979.854,1634082.6434,badfs
1555.743453,7101.964464,2922.284494,488.514426,good
4732.390488,2020292.7959,3704710.1324,1982368.64996,badfs
1836.276063,7633.862103,2836.997493,550.584046,good
6373.915775,2672583.78481,4813660.15049,1931049.94745,badfs
2087.457598,8563.636325,2790.329351,495.837955,good
7648.858086,3153775.82502,5188471.69969,1824430.72841,badfs
963.933215,3967.293321,614.666045,68.71991,good
1377.461446,3900.334904,411.092336,84.822955,good
878.667771,5468.425269,2784.809109,694.204499,good
3064.24985,1744690.27015,3211947.47473,1629889.80788,badfs
1109.340718,5175.606218,2602.720178,565.217887,good
5342.525153,2017636.18957,3689949.68727,1974650.15682,badfs
1093.870587,5593.423496,2908.329053,511.129554,good
8095.961745,2680852.48205,4835792.99539,1943852.28616,badfs
1291.348027,5830.27141,2795.478455,475.223138,good
6679.001064,3160816.59657,5200432.60044,1832068.22996,badfs
1472.190391,2989.920867,398.921808,68.118362,good
1001.827095,3365.170531,541.484894,74.289086,good
1108.024801,5023.138074,2796.361723,712.452991,good
3027.984194,1813541.60432,3381936.80421,1736339.07458,badfs
1119.40993,5342.272658,2582.60024,641.198222,good
4346.030329,2009534.19846,3697268.12089,1967413.40797,badfs
1205.624281,5274.370942,2959.221404,679.466155,good
5113.62823,2668874.81953,4813738.43033,1942115.51076,badfs
1122.033307,5379.315268,2530.613638,637.756359,good
5690.095698,3165762.91325,5220068.40912,1831888.23508,badfs
661.707978,3155.4572,317.151063,84.359682,good
736.33941,3407.700409,364.898215,63.029313,good
1042.056309,4694.006155,2290.157503,641.556616,good
2897.792803,1764849.68325,3349082.82559,1666534.90945,badfs
951.233418,4378.955852,2624.827606,639.82338,good
4380.140924,2023858.79092,3707422.24587,1983985.39882,badfs
763.330929,4319.408887,2458.557157,561.281802,good
3985.657163,2625127.17094,4753275.79977,1913791.76525,badfs
1151.229174,4460.391071,2552.609181,686.31212,good
5696.021033,3176519.05173,5225516.02231,1838503.27998,badfs
40406.728321,2339103.85605,2382450.88503,22.499431,good
41192.063666,2354587.58394,2370645.18969,39.697418,good
6036.717047,2330263.67469,2469668.683,493.316431,good
8032.409099,7309965.62987,7767969.11665,2741999.68876,badfs
4578.565755,2427841.97866,2408416.36668,807.417614,good
9425.544062,7803191.79523,8268088.52614,2960747.63947,badfs
6248.688179,2182498.19167,2435967.06809,919.505081,good
12276.963277,8036466.93059,8239070.83544,2956319.44523,badfs
5423.110374,31476269.9971,64033289.9662,229.209484,badma
7938.379809,2433079.49402,2111282.49433,455.042206,good
14903.04398,8210520.95882,8123550.75294,2943229.62481,badfs
5859.350287,32566291.2403,43091613.0498,257.597186,badma
21858.485879,2350297.6499,2389952.21367,61.50953,good
23509.93251,2354432.29207,2354173.25938,77.875501,good
6466.456202,2347860.1133,2285513.6769,595.149985,good
8954.839035,7139945.04021,7675022.03306,2528933.79832,badfs
7356.451049,2364648.10674,2264058.43673,585.577122,good
12558.473754,7768710.52832,7997462.78124,2836834.47529,badfs
6763.117781,2378421.04241,2177149.97642,368.967214,good
15077.945339,7931834.943,8184244.63718,2925338.26715,badfs
7305.699771,30967450.8578,58734023.9638,263.577694,badma
8841.049478,2367205.61658,2475644.83259,713.237053,good
18098.136328,8041949.46759,8248138.04338,2976957.77204,badfs
6591.146896,30857784.7251,59247599.5136,592.048427,badma
7642.32462,2360999.42226,2383627.20335,76.421033,good
8066.312298,2368830.13621,2384249.85166,81.126175,good
157166.637671,31184611.9755,60270754.8726,828.650198,badma
3231.527084,2356168.83008,2374055.64969,763.038473,good
5191.921447,7102362.63444,7657409.51019,2554413.3366,badfs
3867.70605,31165775.6127,60373985.6771,763.216481,badma
2920.731915,2363689.85576,2390210.83931,657.041472,good
6982.237112,7767904.35486,8091278.14121,2851028.26161,badfs
1842.437466,31287058.9763,60553489.4368,436.517699,badma
2598.507443,2341135.96803,2371101.92011,682.955381,good
8404.775812,7976132.54006,8258164.87437,2911877.76738,badfs
3687.107352,31220593.7982,60462239.4595,1184.218563,badma
2528.222826,2383684.8721,2399946.52884,550.579333,good
11120.994141,8090897.57822,8308047.54698,2955804.13453,badfs
3289.882936,31368275.6087,60523763.4759,1124.295435,badma
2576.470333,2369148.7755,2373047.46366,69.288611,good
2201.625952,2363455.54054,2381028.62896,62.178273,good
23159.372371,31139425.0831,60232011.9465,851.972731,badma
2093.515454,2360007.93951,2364895.99097,858.716208,good
5416.058889,7119224.64123,7605828.75626,2542879.31607,badfs
6060.312363,31075299.7876,59962820.2719,1737.632985,badma
1702.029527,2368590.26896,2357038.34018,652.960686,good
9259.152221,7736622.13272,8059214.18512,2829436.80801,badfs
8428.257119,31182101.128,60156396.6207,3852.207696,badma
1764.088861,2359537.72966,2361049.19926,781.857003,good
8446.585864,7969326.35516,8254442.10452,2911771.6754,badfs
8636.683774,31160318.1849,60112499.6379,5587.7608,badma
2183.277218,2368553.89611,2377522.63367,686.656442,good
17343.454408,8062509.42579,8286219.40431,2939090.69962,badfs
13995.61774,31128058.4247,60009911.9471,7755.597135,badma
2370.129447,2367312.13125,2376532.56195,69.918846,good
2364.609321,2368236.75688,2383133.32297,56.844488,good
23418.531,31134423.5651,60184486.8138,832.225982,badma
1304.329572,2367726.0344,2376202.02378,795.798178,good
3610.661968,7127511.18124,7662193.26048,2590928.99102,badfs
4622.265591,31146748.6258,60106195.0449,2285.148627,badma
1152.547621,2368831.23691,2373769.51401,652.969143,good
5662.929975,7720508.90133,8055120.98528,2813231.92034,badfs
6609.814026,31165959.082,60100406.5833,3795.388515,badma
1378.438866,2366550.95307,2373965.21633,598.716429,good
7326.778607,7956717.98155,8216963.22922,2905332.97272,badfs
10015.476107,31198828.7124,60198446.5192,5525.378913,badma
1806.517821,2365229.94824,2375703.15316,559.537818,good
13370.531903,8057044.30443,8264524.07958,2929293.48114,badfs
15112.53083,31260393.5132,60091772.5673,7428.770972,badma
1704.468503,2394568.18823,2384648.33322,61.166603,good
2001.406437,2395307.76388,2387329.69152,76.650663,good
19292.92684,30956856.9107,59789863.5735,962.333083,badma
1396.410573,2395350.58977,2378702.69366,883.856596,good
4096.789866,7132315.48632,7622302.31002,2622143.17831,badfs
6521.213013,30949337.8932,59693772.7815,1800.080772,badma
1226.59342,2395580.10951,2381580.7845,649.950352,good
5973.040838,7724435.18862,8030077.0588,2802140.78053,badfs
7596.860623,30985477.5806,59676666.7427,3807.745389,badma
1254.807346,2395471.8984,2373380.02277,646.809264,good
6926.262419,7924576.44949,8164018.19187,2869685.41081,badfs
13387.937332,31013369.6007,59697161.0272,5624.96912,badma
1143.287116,2396364.65145,2369395.10981,525.800018,good
11123.637069,8034656.49919,8229028.76694,2898451.65165,badfs
13379.443379,31055082.0636,59686195.124,8228.176985,badma
2125.820112,2393971.04384,2381919.07925,71.655548,good
1666.450535,2393840.69154,2385518.89268,67.118747,good
14526.480478,30962404.3519,59799434.0202,818.116166,badma
1366.314307,2394594.32208,2380353.27747,600.474282,good
5156.280841,7136444.89682,7616633.85985,2580826.21091,badfs
6841.545001,30952574.2597,59676639.8728,1702.778622,badma
1514.837448,2393949.12008,2378409.19498,665.521589,good
7941.512274,7710601.22812,8015564.19803,2791959.57486,badfs
10463.020825,30975397.4364,59705887.9891,4328.971761,badma
1168.49008,2393311.81036,2379992.69678,653.165756,good
10698.49557,7928119.50977,8163485.7154,2868946.19231,badfs
14505.955401,31019741.5655,59687784.245,5787.004881,badma
1418.803703,2394347.87985,2387811.24563,516.591527,good
11703.878722,8033976.91875,8206482.78591,2904787.04568,badfs
12926.166027,31059909.9064,59699136.1277,8414.732505,badma
49899.55971,2447784.81068,2425129.90207,195.869191,good
49122.954294,2446452.03641,2445487.08341,195.941064,good
13475.265067,2441850.82745,2431504.91282,1723.620305,good
8952.302657,6381382.53642,8864848.13655,3399053.70094,badfs
12872.333011,2439763.69577,2519583.57519,1256.022324,good
16275.556902,6680282.52129,9950808.39071,3721433.45203,badfs
12211.373281,2482189.56826,2392615.23073,893.097896,good
19305.976737,8125557.08453,18554028.6121,3602084.20768,badfs
10209.345492,2433199.57986,2227404.62397,1642.579642,good
27789.286195,9015311.70598,23200520.9791,3293427.24977,badfs
22054.558653,2458672.31763,2476786.25509,151.810817,good
21562.840799,2450440.14489,2466661.23335,157.80042,good
3882.121752,2459160.8901,2474516.17416,1215.294555,good
7320.764273,6527329.6778,8983111.53458,3596115.55612,badfs
4215.723197,2485332.0247,2582383.94329,1123.067561,good
10529.589061,6612320.62876,9852052.91505,3725525.69453,badfs
3656.334134,2486176.09576,2435036.53773,979.302695,good
10093.565717,7920812.13072,11882060.2121,3636553.81769,badfs
5229.311088,2464569.38893,2417384.34426,686.669438,good
11472.860247,8767447.95288,12291377.932,3230590.61545,badfs
8204.898004,2439579.75043,2464201.67927,126.232678,good
9230.299775,2442995.4758,2471020.04945,122.603459,good
175587.474466,32780363.5504,61415145.8881,732.745315,badma
4240.67554,2444176.19365,2465569.58648,1553.879704,good
5057.72781,8485908.90485,8740113.86832,3403075.15835,badfs
5467.545036,32042878.9535,61385050.6313,1226.435881,badma
3789.640677,2432878.53269,2437986.84888,1258.198916,good
8209.10427,9601661.4999,9715465.0884,3682270.54945,badfs
3573.9383,2436668.33763,2456250.07953,961.879608,good
12184.405942,9904307.75497,10014633.5414,3773723.30444,badfs
4061.638915,31902158.5855,60594496.9063,1056.723596,badma
4492.088706,2451489.5591,2482277.07976,969.592747,good
